Date,Account ID,Invoice/CM #,Line Description,Debit Amnt,Credit Amnt,Name,Sales Rep Name,Qty,Item ID,Item Description,Sku Type,Principla
04/11/2023,1200,COL23-04C-0107,Cost of sales,,1909.44,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),2,816,GUMBALL 50PCSX40,CASE,CIFPI
04/11/2023,4000,COL23-04C-0107,SUPER BUBBLE 40PCSX40,,1445.04,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),1,832,SUPER BUBBLE 40PCSX40,CASE,CIFPI
04/11/2023,5000,COL23-04C-0107,Cost of sales,1138.32,,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),1,832,SUPER BUBBLE 40PCSX40,CASE,CIFPI
04/11/2023,1200,COL23-04C-0107,Cost of sales,,1138.32,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),1,832,SUPER BUBBLE 40PCSX40,CASE,CIFPI
04/11/2023,4000,COL23-04C-0107,PINGPONG GUM 200PCSX24,,782.14,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),1,801,PINGPONG GUM 200PCSX24,CASE,CIFPI
04/11/2023,5000,COL23-04C-0107,Cost of sales,693.6,,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),1,801,PINGPONG GUM 200PCSX24,CASE,CIFPI
04/11/2023,1200,COL23-04C-0107,Cost of sales,,693.6,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),1,801,PINGPONG GUM 200PCSX24,CASE,CIFPI
04/11/2023,4000,COL23-04C-0107,CHERRY GUM 200PCSX24,,782.14,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),1,802,CHERRY GUM 200PCSX24,CASE,CIFPI
04/11/2023,5000,COL23-04C-0107,Cost of sales,693.6,,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),1,802,CHERRY GUM 200PCSX24,CASE,CIFPI
04/11/2023,1200,COL23-04C-0107,Cost of sales,,693.6,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),1,802,CHERRY GUM 200PCSX24,CASE,CIFPI
04/11/2023,4000,COL23-04C-0107,JUMBO CHERRI JAR 100PCSX12,,2592,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),2,710,JUMBO CHERRI JAR 100PCSX12,CASE,CIFPI
04/11/2023,5000,COL23-04C-0107,Cost of sales,2332.98,,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),2,710,JUMBO CHERRI JAR 100PCSX12,CASE,CIFPI
04/11/2023,1200,COL23-04C-0107,Cost of sales,,2332.98,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),2,710,JUMBO CHERRI JAR 100PCSX12,CASE,CIFPI
