Date,Account ID,Invoice/CM #,Line Description,Debit Amnt,Credit Amnt,Name,Sales Rep Name,Qty,Item ID,Item Description,Sku_type,Principal
3/28/23,4000,COL23-03C-0471,MYBIDA COMBO MIX 10PCSX20,,"3,207.60",ORORAMA SUPERCENTER (COGON),DAN BORJA JR. (CDO),3,657,MYBIDA COMBO MIX 10PCSX20,Case,CIFPI
3/28/23,5000,COL23-03C-0471,Cost of sales,"2,684.22",,ORORAMA SUPERCENTER (COGON),DAN BORJA JR. (CDO),3,657,MYBIDA COMBO MIX 10PCSX20,Case,CIFPI
3/28/23,1200,COL23-03C-0471,Cost of sales,,"2,684.22",ORORAMA SUPERCENTER (COGON),DAN BORJA JR. (CDO),3,657,MYBIDA COMBO MIX 10PCSX20,Case,CIFPI
3/28/23,4000,COL23-03C-0471,YAKEE! SUPER ASIM GUMBALL 25PCSX40,,"3,168.72",ORORAMA SUPERCENTER (COGON),DAN BORJA JR. (CDO),3,876,YAKEE! SUPER ASIM 25PCSX40,Case,CIFPI
3/28/23,5000,COL23-03C-0471,Cost of sales,"3,008.85",,ORORAMA SUPERCENTER (COGON),DAN BORJA JR. (CDO),3,876,YAKEE! SUPER ASIM 25PCSX40,Case,CIFPI
3/28/23,1200,COL23-03C-0471,Cost of sales,,"3,008.85",ORORAMA SUPERCENTER (COGON),DAN BORJA JR. (CDO),3,876,YAKEE! SUPER ASIM 25PCSX40,Case,CIFPI
3/28/23,4000,COL23-03C-0471,V FRESH WINTER 50PCSX40,,"4,451.76",ORORAMA SUPERCENTER (COGON),DAN BORJA JR. (CDO),3,988,V FRESH WINTER 50PCSX40,Case,CIFPI
3/28/23,5000,COL23-03C-0471,Cost of sales,"3,683.01",,ORORAMA SUPERCENTER (COGON),DAN BORJA JR. (CDO),3,988,V FRESH WINTER 50PCSX40,Case,CIFPI
3/28/23,1200,COL23-03C-0471,Cost of sales,,"3,683.01",ORORAMA SUPERCENTER (COGON),DAN BORJA JR. (CDO),3,988,V FRESH WINTER 50PCSX40,Case,CIFPI
3/28/23,4000,COL23-03C-0471,MONAMI STRAWBERRY&CREAM 50PCSX40,,"4,101.84",ORORAMA SUPERCENTER (COGON),DAN BORJA JR. (CDO),3,965,MONAMI STRW&CREAM 50PCSX40,Case,CIFPI
3/28/23,5000,COL23-03C-0471,Cost of sales,"3,333.45",,ORORAMA SUPERCENTER (COGON),DAN BORJA JR. (CDO),3,965,MONAMI STRW&CREAM 50PCSX40,Case,CIFPI
3/28/23,1200,COL23-03C-0471,Cost of sales,,"3,333.45",ORORAMA SUPERCENTER (COGON),DAN BORJA JR. (CDO),3,965,MONAMI STRW&CREAM 50PCSX40,Case,CIFPI
3/28/23,4000,COL23-03C-0471,CIOCO LUVLOV CHOCO BALLS 24PCSX40,,"10,173.60",ORORAMA SUPERCENTER (COGON),DAN BORJA JR. (CDO),10,641,CIOCO LUVLOV CHOCO BALLS 24X40,Case,CIFPI
3/28/23,5000,COL23-03C-0471,Cost of sales,"8,905.80",,ORORAMA SUPERCENTER (COGON),DAN BORJA JR. (CDO),10,641,CIOCO LUVLOV CHOCO BALLS 24X40,Case,CIFPI
3/28/23,1200,COL23-03C-0471,Cost of sales,,"8,905.80",ORORAMA SUPERCENTER (COGON),DAN BORJA JR. (CDO),10,641,CIOCO LUVLOV CHOCO BALLS 24X40,Case,CIFPI
3/28/23,4000,COL23-03C-0471,CHOCO JOY 50PCSX40,,"4,335.12",ORORAMA SUPERCENTER (COGON),DAN BORJA JR. (CDO),3,809,CHOCO JOY 50PCSX40,Case,CIFPI
3/28/23,5000,COL23-03C-0471,Cost of sales,"3,402.12",,ORORAMA SUPERCENTER (COGON),DAN BORJA JR. (CDO),3,809,CHOCO JOY 50PCSX40,Case,CIFPI
3/28/23,1200,COL23-03C-0471,Cost of sales,,"3,402.12",ORORAMA SUPERCENTER (COGON),DAN BORJA JR. (CDO),3,809,CHOCO JOY 50PCSX40,Case,CIFPI
3/28/23,4000,COL23-03C-0471,CHAMPI CHOCO 50PCSX40,,"7,225.20",ORORAMA SUPERCENTER (COGON),DAN BORJA JR. (CDO),5,971,CHAMPI CHOCO 50PCSX40,Case,CIFPI
3/28/23,5000,COL23-03C-0471,Cost of sales,"5,670.20",,ORORAMA SUPERCENTER (COGON),DAN BORJA JR. (CDO),5,971,CHAMPI CHOCO 50PCSX40,Case,CIFPI
